daily_pnl,date,cum_daily_pnl
601.8391562,22-06-2021 05:30,5183.548156
564.7776183,23-06-2021 05:30,5146.486618
524.7711838,24-06-2021 05:30,5106.480184
533.1851104,25-06-2021 05:30,5114.89411
561.7564161,28-06-2021 05:30,5143.465416
0,30-06-2021 05:30,5143.465
6.940694168,01-07-2021 05:30,5150.405694
3.523050057,02-07-2021 05:30,5146.98805
49.63431873,05-07-2021 05:30,5193.099319
28.07608519,06-07-2021 05:30,5171.541085
34.820123,07-07-2021 05:30,5178.285123
29.11195045,08-07-2021 05:30,5172.57695
52.9388953,09-07-2021 05:30,5196.403895
62.38974781,12-07-2021 05:30,5205.854748
75.06298659,13-07-2021 05:30,5218.527987
72.75570973,14-07-2021 05:30,5216.22071
78.23302209,15-07-2021 05:30,5221.698022
113.489477,16-07-2021 05:30,5256.954477
91.78682443,19-07-2021 05:30,5235.251824
31.22329446,20-07-2021 05:30,5174.688294
71.41138982,22-07-2021 05:30,5214.87639
59.127338,23-07-2021 05:30,5202.592338
82.21209367,26-07-2021 05:30,5225.677094
113.3311756,27-07-2021 05:30,5256.796176
100.2497043,28-07-2021 05:30,5243.714704
138.0406096,29-07-2021 05:30,5281.50561
123.2605128,30-07-2021 05:30,5266.725513
132.9043314,02-08-2021 05:30,5276.369331
114.2493277,03-08-2021 05:30,5257.714328
96.67304837,04-08-2021 05:30,5240.138048
98.29399386,05-08-2021 05:30,5241.758994
93.47952677,06-08-2021 05:30,5236.944527
49.91535973,09-08-2021 05:30,5193.38036
-22.08117807,10-08-2021 05:30,5121.383822
-31.31538047,11-08-2021 05:30,5112.14962
18.42547545,12-08-2021 05:30,5161.890475
3.927206614,13-08-2021 05:30,5147.392207
-0.186387942,16-08-2021 05:30,5143.278612
-27.34640969,17-08-2021 05:30,5116.11859
-45.6938428,18-08-2021 05:30,5097.771157
-126.3429361,20-08-2021 05:30,5017.122064
-166.3043473,23-08-2021 05:30,4977.160653
-123.314934,24-08-2021 05:30,5020.150066
-107.8422801,25-08-2021 05:30,5035.62272
-128.5430092,26-08-2021 05:30,5014.921991
-109.9601342,27-08-2021 05:30,5033.504866
-87.99060637,30-08-2021 05:30,5055.474394
-75.53839604,31-08-2021 05:30,5067.926604
-78.43211844,01-09-2021 05:30,5065.032882
-41.83221652,02-09-2021 05:30,5101.632783
-18.78730893,03-09-2021 05:30,5124.677691
4.925384369,06-09-2021 05:30,5148.390384
11.82040424,07-09-2021 05:30,5155.285404
25.62600641,08-09-2021 05:30,5169.091006
57.48779482,09-09-2021 05:30,5200.952795
89.85719892,13-09-2021 05:30,5233.322199
99.05702078,14-09-2021 05:30,5242.522021
112.0266937,15-09-2021 05:30,5255.491694
87.80202467,16-09-2021 05:30,5231.267025
56.85038289,17-09-2021 05:30,5200.315383
-16.89265377,20-09-2021 05:30,5126.572346
-16.39670529,21-09-2021 05:30,5127.068295
15.25104507,22-09-2021 05:30,5158.716045
27.8149579,23-09-2021 05:30,5171.279958
27.47770389,24-09-2021 05:30,5170.942704
22.30994559,27-09-2021 05:30,5165.774946
2.37671903,28-09-2021 05:30,5145.841719
28.72489118,29-09-2021 05:30,5172.189891
43.15077115,30-09-2021 05:30,5186.615771
37.2074143,01-10-2021 05:30,5180.672414
70.79987991,04-10-2021 05:30,5214.26488
73.29625418,05-10-2021 05:30,5216.761254
67.81347547,06-10-2021 05:30,5211.278475
91.74536873,07-10-2021 05:30,5235.210369
121.5266608,08-10-2021 05:30,5264.991661
132.2626012,11-10-2021 05:30,5275.727601
141.948216,12-10-2021 05:30,5285.413216
166.8289502,13-10-2021 05:30,5310.29395
205.924728,14-10-2021 05:30,5349.389728
