daily_pnl,date,cum_daily_pnl,result
54.88610062,19-01-2018 05:30,4336.601101,84.00200225
91.63924769,22-01-2018 05:30,4373.354248,83.82179952
95.57311883,23-01-2018 05:30,4377.288119,79.54532182
48.71353643,24-01-2018 05:30,4330.428536,77.9760564
40.9067418,25-01-2018 05:30,4322.621742,75.16789722
20.55510143,29-01-2018 05:30,4302.270101,74.80832603
-20.04125767,30-01-2018 05:30,4261.673742,76.47937263
-19.89151736,31-01-2018 05:30,4261.823483,74.44541776
-40.15235572,01-02-2018 05:30,4241.562644,75.86034289
-159.6075036,02-02-2018 05:30,4122.107496,75.21211363
-153.6614072,05-02-2018 05:30,4128.053593,75.95628415
-220.5541601,06-02-2018 05:30,4061.16084,74.40120135
-163.0559972,07-02-2018 05:30,4118.659003,73.1681475
-106.6326615,08-02-2018 05:30,4175.082339,72.86780962
-86.99090986,09-02-2018 05:30,4194.72409,73.48600509
-17.69719763,12-02-2018 05:30,4264.017802,73.23989488
7.177207847,14-02-2018 05:30,4288.892208,75.04776207
-32.85642976,15-02-2018 05:30,4248.85857,76.57531389
-71.38689399,16-02-2018 05:30,4210.328106,76.10311601
-90.34330007,19-02-2018 05:30,4191.3717,75.07779585
-106.9105325,20-02-2018 05:30,4174.804468,74.50214825
-106.7048006,21-02-2018 05:30,4175.010199,72.84194719
-112.6789562,22-02-2018 05:30,4169.036044,71.01322321
-76.69493929,23-02-2018 05:30,4205.020061,69.42727235
-67.39251325,26-02-2018 05:30,4214.322487,70.90309932
-76.50058717,27-02-2018 05:30,4205.214413,70.6394694
-81.61715848,28-02-2018 05:30,4200.097842,73.88562132
-79.22003407,01-03-2018 05:30,4202.494966,73.97655696
-127.8633972,05-03-2018 05:30,4153.851603,73.71042423
-154.9919407,06-03-2018 05:30,4126.723059,72.86363826
-206.0857536,07-03-2018 05:30,4075.629246,70.11054103
-193.478972,08-03-2018 05:30,4088.236028,68.42698035
-216.0794994,09-03-2018 05:30,4065.635501,68.92921203
-200.8370953,12-03-2018 05:30,4080.877905,69.44479206
-170.2009983,13-03-2018 05:30,4111.514002,68.76903183
-180.810476,14-03-2018 05:30,4100.904524,66.82184124
-151.2444228,15-03-2018 05:30,4130.470577,69.03433029
-164.6971057,16-03-2018 05:30,4117.017894,69.92700121
-194.0688335,19-03-2018 05:30,4087.646167,68.75151212
-208.0480293,20-03-2018 05:30,4073.666971,70.38835356
-181.1893823,21-03-2018 05:30,4100.525618,70.9423101
-206.7678349,22-03-2018 05:30,4074.947165,68.99678805
-241.3348828,23-03-2018 05:30,4040.380117,72.27964794
-243.187042,26-03-2018 05:30,4038.527958,72.38726901
-222.6986937,27-03-2018 05:30,4059.016306,73.18399867
-236.9789567,28-03-2018 05:30,4044.736043,73.56609519
-170.9776425,02-04-2018 05:30,4110.737358,73.81470821
-145.1863754,03-04-2018 05:30,4136.528625,74.50715388
-176.817396,04-04-2018 05:30,4104.897604,74.87339924
-129.6261719,05-04-2018 05:30,4152.088828,75.6701289
-116.3426917,06-04-2018 05:30,4165.372308,76.00967755
-117.7111621,09-04-2018 05:30,4164.003838,75.6342552
-124.8808018,10-04-2018 05:30,4156.834198,76.28665582
-123.5419794,11-04-2018 05:30,4158.173021,76.26579902
-134.9161085,12-04-2018 05:30,4146.798891,76.61035331
-142.7312244,13-04-2018 05:30,4138.983776,77.10507654
-118.9314829,16-04-2018 05:30,4162.783517,76.37425437
-111.1429675,17-04-2018 05:30,4170.572032,77.1626413
-91.22614668,18-04-2018 05:30,4190.488853,78.40570642
-67.53115917,19-04-2018 05:30,4214.183841,79.19075627
-62.87524112,20-04-2018 05:30,4218.839759,78.83535644
-61.7228038,23-04-2018 05:30,4219.992196,78.19463563
-50.34382154,24-04-2018 05:30,4231.371178,77.17014975
-86.75194883,25-04-2018 05:30,4194.963051,78.79280858
-100.6994661,26-04-2018 05:30,4181.015534,78.83118508
-95.09761843,27-04-2018 05:30,4186.617382,79.22996705
-78.64381787,30-04-2018 05:30,4203.071182,78.81032829
-96.22673316,02-05-2018 05:30,4185.488267,80.31118341
-128.1772552,03-05-2018 05:30,4153.537745,80.31285196
-139.6726728,04-05-2018 05:30,4142.042327,80.23359613
-124.9659634,07-05-2018 05:30,4156.749037,79.21995578
-113.3565564,08-05-2018 05:30,4168.358444,78.24552622
-94.5236857,09-05-2018 05:30,4187.191314,76.80557294
-125.9539897,10-05-2018 05:30,4155.76101,75.47574354
-138.2828311,11-05-2018 05:30,4143.432169,75.8094523
-142.7922197,14-05-2018 05:30,4138.92278,74.03495599
-147.8487906,15-05-2018 05:30,4133.866209,75.42819005
-126.0810757,16-05-2018 05:30,4155.633924,76.95157052
-93.66973404,17-05-2018 05:30,4188.045266,78.34480457
-135.1054587,18-05-2018 05:30,4146.609541,77.42126559
-185.6325235,21-05-2018 05:30,4096.082476,77.10507654
-151.6352517,22-05-2018 05:30,4130.079748,79.13736287
-158.3709713,23-05-2018 05:30,4123.344029,78.47077963
-181.9977042,24-05-2018 05:30,4099.717296,77.34117549
-155.2666715,25-05-2018 05:30,4126.448329,76.75134526
-117.411914,28-05-2018 05:30,4164.303086,78.27806282
-100.1966453,29-05-2018 05:30,4181.518355,79.67463396
-124.8420871,30-05-2018 05:30,4156.872913,79.66295416
-138.8911669,31-05-2018 05:30,4142.823833,79.98498311
-204.2982928,01-06-2018 05:30,4077.416707,80.91769908
-270.653249,04-06-2018 05:30,4011.061751,81.14879239
-332.4305401,05-06-2018 05:30,3949.28446,80.33704584
-283.1870578,06-06-2018 05:30,3998.527942,80.49806032
-223.486539,07-06-2018 05:30,4058.228461,80.20022525
-219.201226,08-06-2018 05:30,4062.513774,78.70854712
-208.6659794,11-06-2018 05:30,4073.049021,79.73637008
-195.6361582,12-06-2018 05:30,4086.078842,79.21995578
-195.625013,13-06-2018 05:30,4086.089987,80.56730488
-176.9152609,14-06-2018 05:30,4104.799739,79.57618988
-192.1354732,15-06-2018 05:30,4089.579527,79.68798231
-202.4992587,18-06-2018 05:30,4079.215741,78.05698077
-240.3145535,19-06-2018 05:30,4041.400447,76.68376924
-226.3516814,20-06-2018 05:30,4055.363319,78.77278605
-244.1434057,21-06-2018 05:30,4037.571594,77.8217161
-252.2672273,22-06-2018 05:30,4029.447773,78.53251575
-262.1510381,25-06-2018 05:30,4019.563962,79.70049639
-291.3708652,26-06-2018 05:30,3990.344135,79.36428482
-340.4954258,27-06-2018 05:30,3941.219574,79.74638135
-352.613547,28-06-2018 05:30,3929.101453,81.08538773
0,02-07-2018 05:30,3929.101,82.65965878
13.64311037,03-07-2018 05:30,3942.74411,82.67717849
45.73823,04-07-2018 05:30,3974.83923,83.92691778
12.52890306,05-07-2018 05:30,3941.629903,83.8551704
16.40672145,06-07-2018 05:30,3945.507721,82.48613023
51.8266737,09-07-2018 05:30,3980.927674,83.6741334
81.7875847,10-07-2018 05:30,4010.888585,83.21361532
78.11203412,11-07-2018 05:30,4007.213034,82.82401034
79.41576026,12-07-2018 05:30,4008.51676,83.71000709
42.7046608,13-07-2018 05:30,3971.805661,84.95390648
-6.565775781,16-07-2018 05:30,3922.535224,85.78066992
6.266915595,17-07-2018 05:30,3935.367916,85.74229341
-10.64206539,18-07-2018 05:30,3918.458935,86.33128937
-37.33016569,19-07-2018 05:30,3891.770834,88.18420723
-20.35752831,20-07-2018 05:30,3908.743472,88.87164727
-11.74543667,23-07-2018 05:30,3917.355563,89.4881742
38.98697219,24-07-2018 05:30,3968.087972,89.31631419
49.73943239,25-07-2018 05:30,3978.840432,87.62274225
53.55983037,26-07-2018 05:30,3982.66083,89.55992158
77.35777218,27-07-2018 05:30,4006.458772,89.99874859
77.41809544,30-07-2018 05:30,4006.519095,90.03795937
111.1085472,31-07-2018 05:30,4040.209547,91.04826263
119.2807699,01-08-2018 05:30,4048.38177,91.39365119
120.2033679,02-08-2018 05:30,4049.304368,90.70621115
